
Title,Company,Location,Apply
b'Sr. Data Analyst (Theatres)',b'IMAX',"b'Mississauga, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-data-analyst-theatres-at-imax-3622942851?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=jz7u879sMZp%2Fl5Y5UI%2FM8g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst - Adv. Excel (Macros), VBA, MDM'",b'Procom',"b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-adv-excel-macros-vba-mdm-at-procom-3647440026?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=FmMfIZIv7v%2F4BKmlfol2NQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst (Hybrid)',"b'Global Technical Talent, an Inc. 5000 Company'","b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-hybrid-at-global-technical-talent-an-inc-5000-company-3647441135?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=xNnaGlM6KKf5TYJRnnQdCQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst (Hybrid)',"b'Global Technical Talent, an Inc. 5000 Company'","b'Dieppe, New Brunswick, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-hybrid-at-global-technical-talent-an-inc-5000-company-3647435705?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=m5nwZGqL8SHhVyLNlcldaA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business System Analyst',b'TechPrinciple Consulting Inc',"b'Greater Toronto Area, Canada'",b'https://ca.linkedin.com/jobs/view/business-system-analyst-at-techprinciple-consulting-inc-3642158490?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=L5ZZ6IF0CXsxD3MEDGOXrw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer',b'RideCo On-Demand Transit',"b'Waterloo, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-at-rideco-on-demand-transit-3647445123?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=Ftua68LjCzVteicMKonrrA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Intelligence Specialist',b'Irving Shipbuilding',"b'Halifax, Nova Scotia, Canada'",b'https://ca.linkedin.com/jobs/view/business-intelligence-specialist-at-irving-shipbuilding-3643129624?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=jw885pTR67yeYcaaK6Wx1g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Data Advisor & Business Analyst',b'Dalhousie University',"b'Halifax, Nova Scotia, Canada'",b'https://ca.linkedin.com/jobs/view/senior-data-advisor-business-analyst-at-dalhousie-university-3635638680?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=qFcpN0BtYCIwvpQlp0KuHg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Systems Analyst',b'Canfor',"b'Vancouver, British Columbia, Canada'",b'https://ca.linkedin.com/jobs/view/business-systems-analyst-at-canfor-3647568045?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=oxNplEAbQ14sQXojfJD62g%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Competitive Intelligence Analyst',b'D2L',"b'Kitchener, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-competitive-intelligence-analyst-at-d2l-3645158898?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=m6yOutgm%2Bj%2BrlsB9ernJ5Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst (Bangkok Based, Relocation Provided)'",b'Agoda',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-bangkok-based-relocation-provided-at-agoda-3644667671?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=tNDgK%2BFVqG1BiZaZIfUiJA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'GSOC Analyst',b'Crisis24',"b'Ottawa, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/gsoc-analyst-at-crisis24-3644961138?refId=UbPsp5ek5IbkP0JKwfm6wQ%3D%3D&trackingId=TJVpvFS%2BCzqlbBsxgonq3Q%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
